Quote,Author,Tag
"“If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”",C.S. Lewis,god
"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”","Chuck Palahniuk,",god
"“The Christian does not think God will love us because we are good, but that God will make us good because He loves us.”",C.S. Lewis,god
"“When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?"" and the thundering voice of God answered, There's just something about you that pisses me off.”","Stephen King,",god
“Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”,Mahatma Gandhi,god
"“I think God, in creating man, somewhat overestimated his ability.”",Oscar Wilde,god
"“And now these three remain: faith, hope and love. But the greatest of these is love.”","Anonymous,",god
“To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.”,C.S. Lewis,god
“God has no religion.”,Mahatma Gandhi,god
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,god
"“God will not look you over for medals, degrees or diplomas but for scars.”",Elbert Hubbard,god
“The most wasted of all days is one without laughter.”,Nicolas Chamfort,god
“A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.”,"C.S. Lewis,",god
"“If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC”",kurt vonnegut,god
“Never be afraid to trust an unknown future to a known God.”,Corrie ten Boom,god
"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”",Soren Kierkegaard,god
"“The darker the night, the brighter the stars,  The deeper the grief, the closer is God!”","Fyodor Dostoevsky,",god
"“I am trying here to prevent anyone saying the really foolish thing that people often say about Him: I’m ready to accept Jesus as a great moral teacher, but I don’t accept his claim to be God. That is the one thing we must not say. A man who was merely a man and said the sort of things Jesus said would not be a great moral teacher. He would either be a lunatic — on the level with the man who says he is a poached egg — or else he would be the Devil of Hell. You must make your choice. Either this man was, and is, the Son of God, or else a madman or something worse. You can shut him up for a fool, you can spit at him and kill him as a demon or you can fall at his feet and call him Lord and God, but let us not come with any patronizing nonsense about his being a great human teacher. He has not left that open to us. He did not intend to.”","C.S. Lewis,",god
"“Pain insists upon being attended to. God whispers to us in our pleasures, speaks in our consciences, but shouts in our pains. It is his megaphone to rouse a deaf world.”",C.S. Lewis,god
"“If you want to know what God thinks of money, just look at the people he gave it to.”",Dorothy Parker,god
"“Owners of dogs will have noticed that, if you provide them with food and water and shelter and affection, they will think you are god. Whereas owners of cats are compelled to realize that, if you provide them with food and water and shelter and affection, they draw the conclusion that they are gods.”","Christopher Hitchens,",god
"“I have faith that God will show you the answer. But you have to understand that sometimes it takes a while to be able to recognize what God wants you to do. That's how it often is. God's voice is usually nothing more than a whisper, and you have to listen very carefully to hear it. But other times, in those rarest of moments, the answer is obvious and rings as loud as a church bell.”","Nicholas Sparks,",god
"“Let the first act of every morning be to make the following resolve for the day:- I shall not fear anyone on Earth. - I shall fear only God. - I shall not bear ill will toward anyone. - I shall not submit to injustice from anyone. - I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering.”",Mahatma Gandhi,god
"“Sometimes the Bible in the hand of one man is worse than a whisky bottle in the hand of (another)... There are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results.”","Harper Lee,",god
"“He died not for men, but for each man. If each man had been the only man made, He would have done no less.”",C.S. Lewis,god
"“I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.”",John Lennon,god
"“I sought to hear the voice of God and climbed the topmost steeple, but God declared: ""Go down again - I dwell among the people.”",John Henry Newman,god
"“God does not play dice with the universe; He plays an ineffable game of His own devising, which might be compared, from the perspective of any of the other players [i.e. everybody], to being involved in an obscure and complex variant of poker in a pitch-dark room, with blank cards, for infinite stakes, with a Dealer who won't tell you the rules, and who smiles all the time.”","Terry Pratchett,",god
"“Parents are like God because you wanna know they're out there, and you want them to think well of you, but you really only call when you need something.”","Chuck Palahniuk,",god
“I talk to God but the sky is empty.”,Sylvia Plath,god
“God save us from people who mean well.”,"Vikram Seth,",god
“Sometimes God allows what he hates to accomplish what he loves.”,"Joni Eareckson Tada,",god
“That wasn't any act of God. That was an act of pure human fuckery.”,"Stephen King,",god
