Quote,Author,Tag
"“Don't cry because it's over, smile because it happened.”",Dr. Seuss,happiness
“,―,happiness
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness
“Love is that condition in which the happiness of another person is essential to your own.”,"Robert A. Heinlein,",happiness
“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,happiness
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,",happiness
"“It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”","Chuck Palahniuk,",happiness
“Happiness in intelligent people is the rarest thing I know.”,"Ernest Hemingway,",happiness
"“The Seven Social Sins are: Wealth without work. Pleasure without conscience. Knowledge without character. Commerce without morality. Science without humanity. Worship without sacrifice. Politics without principle.From a sermon given by Frederick Lewis Donaldson in Westminster Abbey, London, on March 20, 1925.”",Frederick Lewis Donaldson,happiness
"“Happiness is when what you think, what you say, and what you do are in harmony.”",Mahatma Gandhi,happiness
“You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.”,Albert Camus,happiness
“There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.”,"Stephen Chbosky,",happiness
“Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.”,Henry Wadsworth Longfellow,happiness
“Happiness is not something ready made. It comes from your own actions.”,Dalai Lama XIV,happiness
"“Count your age by friends, not years. Count your life by smiles, not tears.”",John Lennon,happiness
"“Promise YourselfTo be so strong that nothingcan disturb your peace of mind.To talk health, happiness, and prosperityto every person you meet.To make all your friends feelthat there is something in themTo look at the sunny side of everythingand make your optimism come true.To think only the best, to work only for the best,and to expect only the best.To be just as enthusiastic about the success of othersas you are about your own.To forget the mistakes of the pastand press on to the greater achievements of the future.To wear a cheerful countenance at all timesand give every living creature you meet a smile.To give so much time to the improvement of yourselfthat you have no time to criticize others.To be too large for worry, too noble for anger, too strong for fear,and too happy to permit the presence of trouble.To think well of yourself and to proclaim this fact to the world,not in loud words but great deeds.To live in faith that the whole world is on your sideso long as you are true to the best that is in you.”","Christian D. Larson,",happiness
"“If more of us valued food and cheer and song above hoarded gold, it would be a merrier world.”",J.R.R. Tolkien,happiness
"“They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.”",Tom Bodett,happiness
“The most important thing is to enjoy your life—to be happy—it's all that matters.”,Audrey Hepburn,happiness
“Happiness is a warm puppy.”,Charles M. Schulz,happiness
“You cannot protect yourself from sadness without protecting yourself from happiness.”,Jonathan Safran Foer,happiness
“It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”,"Dale Carnegie,",happiness
“No medicine cures what happiness cannot.”,Gabriel García Márquez,happiness
"“Happiness is having a large, loving, caring, close-knit family in another city.”",George Burns,happiness
“Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.”,Marcel Proust,happiness
“The only way to find true happiness is to risk being completely cut open.”,"Chuck Palahniuk,",happiness
"“You can't be happy unless you're unhappy sometimes"".”","Lauren Oliver,",happiness
"“HopeSmiles from the threshold of the year to come, Whispering 'it will be happier'...”",Alfred Lord Tennyson,happiness
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,",happiness
