Quote,Author,Tag
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",Bill Keane,hope
"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",Shel Silverstein,hope
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,hope
"“When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”","Paulo Coelho,",hope
"“Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.”",Langston Hughes,hope
"“I like the night. Without the dark, we'd never see the stars.”","Stephenie Meyer,",hope
"“It's really a wonder that I haven't dropped all my ideals, because they seem so absurd and impossible to carry out. Yet I keep them, because in spite of everything, I still believe that people are really good at heart.”","Anne Frank,",hope
“I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.”,"Robert Fulghum,",hope
“Hope is the thing with feathers That perches in the soul And sings the tune without the words And never stops at all.”,Emily Dickinson,hope
"“They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.”",Tom Bodett,hope
"“There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. "" Live, then, and be happy, beloved children of my heart, and never forget, that until the day God will deign to reveal the future to man, all human wisdom is contained in these two words, 'Wait and Hope.”",Alexandre Dumas,hope
"“If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.”","Chad Sugg,",hope
"“The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.”","J.R.R. Tolkien,",hope
“You cannot swim for new horizons until you have courage to lose sight of the shore.”,William Faulkner,hope
"“And now these three remain: faith, hope and love. But the greatest of these is love.”","Anonymous,",hope
“Life's under no obligation to give us what we expect.”,Margaret Mitchell,hope
"“But I know, somehow, that only when it is dark enough can you see the stars.”","Martin Luther King, Jr.",hope
"“If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him.”","Paulo Coelho,",hope
"“Blessed is he who expects nothing, for he shall never be disappointed.”",Alexander Pope,hope
"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”",Kalu Ndukwe Kalu,hope
"“HopeSmiles from the threshold of the year to come, Whispering 'it will be happier'...”",Alfred Lord Tennyson,hope
"“The very least you can do in your life is figure out what you hope for. And the most you can do is live inside that hope. Not admire it from a distance but live right in it, under its roof.”","Barbara Kingsolver,",hope
“It's amazing how a little tomorrow can make up for a whole lot of yesterday.”,"John Guare,",hope
“Maybe everyone can live beyond what they're capable of.”,"Markus Zusak,",hope
“Tears shed for another person are not a sign of weakness. They are a sign of a pure heart.”,"José N. Harris,",hope
"“I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.”",C. JoyBell C.,hope
"“Anyway, I keep picturing all these little kids playing some game in this big field of rye and all. Thousands of little kids, and nobody's around - nobody big, I mean - except me. And I'm standing on the edge of some crazy cliff. What I have to do, I have to catch everybody if they start to go over the cliff - I mean if they're running and they don't look where they're going I have to come out from somewhere and catch them. That's all I do all day. I'd just be the catcher in the rye and all. I know it's crazy, but that's the only thing I'd really like to be.”","J. D. Salinger,",hope
“You can cut all the flowers but you cannot keep Spring from coming.”,Pablo Neruda,hope
"“In a time of destruction, create something.”",Maxine Hong Kingston,hope
"“Hope can be a powerful force. Maybe there's no actual magic in it, but when you know what you hope for most and hold it like a light within you, you can make things happen, almost like magic.”","Laini Taylor,",hope
"“Strange as it may seem, I still hope for the best, even though the best, like an interesting piece of mail, so rarely arrives, and even when it does it can be lost so easily.”","Lemony Snicket,",hope
"“When you have lost hope, you have lost everything. And when you think all is lost, when all is dire and bleak, there is always hope.”","Pittacus Lore,",hope
"“I don't think of all the misery, but of the beauty that still remains.”","Anne Frank,",hope
"“It's going to be all right, sir,"" Harry said over and over again, more worried by Dumbledore's silence than he had been by his weakened voice. ""We're nearly there ... I can Apparate us both back ... don't worry ...""""I am not worried, Harry,"" said Dumbledore, his voice a little stronger despite the freezing water. ""I am with you.”","J.K. Rowling,",hope
“There is a crack in everything.That's how the light gets in.”,"Leonard Cohen,",hope
"“We dream to give ourselves hope. To stop dreaming - well, that’s like saying you can never change your fate.”","Amy Tan,",hope
"“to love life, to love it evenwhen you have no stomach for itand everything you've held dearcrumbles like burnt paper in your hands,your throat filled with the silt of it.When grief sits with you, its tropical heatthickening the air, heavy as watermore fit for gills than lungs;when grief weights you like your own fleshonly more of it, an obesity of grief,you think, How can a body withstand this?Then you hold life like a facebetween your palms, a plain face,no charming smile, no violet eyes,and you say, yes, I will take youI will love you, again.”",Ellen Bass,hope
“Hope is a waking dream.”,Aristotle,hope
"“This is where it all begins. Everything starts here, today.”","David Nicholls,",hope
“Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.”,Epicurus,hope
"“The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.”",Barack Obama,hope
"“There is a saying in Tibetan, 'Tragedy should be utilized as a source of strength.'No matter what sort of difficulties, how painful experience is, if we lose our hope, that's our real disaster.”",Dalai Lama XIV,hope
“It is often in the darkest skies that we see the brightest stars.”,Richard Evans,hope
"“I used to think I was the strangest person in the worldbut then I thought, there are so many people in the world, there must be someone just like me who feels bizarre and flawed in the same ways I doI would imagine her, and imagine that she must be out there thinking of me too.well, I hope that if you are out there you read this and know that yes, it’s true I’m here, and I’m just as strange as you.”",Rebecca Katherine Martin,hope
"“The feelings that hurt most, the emotions that sting most, are those that are absurd - The longing for impossible things, precisely because they are impossible; nostalgia for what never was; the desire for what could have been; regret over not being someone else; dissatisfaction with the world’s existence. All these half-tones of the soul’s consciousness create in us a painful landscape, an eternal sunset of what we are.”",Fernando Pessoa,hope
"“Hope is a good breakfast, but it is a bad supper.”",Francis Bacon,hope
“Fairy tales do not tell children the dragons exist. Children already know that dragons exist. Fairy tales tell children the dragons can be killed.”,G.K. Chesterton,hope
"“If you can love someone with your whole heart, even one person, then there's salvation in life. Even if you can't get together with that person.”","Haruki Murakami,",hope
"“A star falls from the sky and into your hands. Then it seeps through your veins and swims inside your blood and becomes every part of you. And then you have to put it back into the sky. And it's the most painful thing you'll ever have to do and that you've ever done. But what's yours is yours. Whether it’s up in the sky or here in your hands. And one day, it'll fall from the sky and hit you in the head real hard and that time, you won't have to put it back in the sky again.”",C. JoyBell C.,hope
"“When it was dark, you always carried the sun in your hand for me.”","Sean O'Casey,",hope
“Never lose hope. Storms make people stronger and never last forever.”,"Roy T. Bennett,",hope
"“Shoot for the moon, even if you fail, you'll land among the stars”","Cecelia Ahern,",hope
“My life is a perfect graveyard of buried hopes.”,"L.M. Montgomery,",hope
"“The road that is built in hope is more pleasant to the traveler than the road built in despair, even though they both lead to the same destination.”","Marion Zimmer Bradley,",hope
"“Remember, Hope is a good thing, maybe the best of things, and no good thing ever dies.”",Stephen King,hope
“We need never be hopeless because we can never be irreperably broken.”,"John Green,",hope
"“I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.”","Nelson Mandela,",hope
"“Part of the problem with the word 'disabilities' is that it immediately suggests an inability to see or hear or walk or do other things that many of us take for granted. But what of people who can't feel? Or talk about their feelings? Or manage their feelings in constructive ways? What of people who aren't able to form close and strong relationships? And people who cannot find fulfillment in their lives, or those who have lost hope, who live in disappointment and bitterness and find in life no joy, no love? These, it seems to me, are the real disabilities.”","Fred Rogers,",hope
"“We are all the pieces of what we remember. We hold in ourselves the hopes and fears of those who love us. As long as there is love and memory, there is no true loss.”","Cassandra Clare,",hope
“One lives in the hope of becoming a memory.”,Antonio Porchia,hope
“A baby is God's opinion that the world should go on.”,Carl Sandburg,hope
“The first duty of a man is to think for himself”,Jose Marti,hope
"“For like a shaft, clear and cold, the thought pierced him that in the end the Shadow was only a small and passing thing: there was light and high beauty for ever beyond its reach.”","J.R.R. Tolkien,",hope
"“TO BE HOPEFUL in bad times is not just foolishly romantic. It is based on the fact that human history is a history not only of cruelty, but also of compassion, sacrifice, courage, kindness.What we choose to emphasize in this complex history will determine our lives. If we see only the worst, it destroys our capacity to do something. If we remember those times and places—and there are so many—where people have behaved magnificently, this gives us the energy to act, and at least the possibility of sending this spinning top of a world in a different direction.And if we do act, in however small a way, we don’t have to wait for some grand utopian future. The future is an infinite succession of presents, and to live now as we think human beings should live, in defiance of all that is bad around us, is itself a marvelous victory.”",Howard Zinn,hope
"“We must accept finite disappointment, but never lose infinite hope.”",Martin Luther King Jr.,hope
"“It isn't as bad as you sometimes think it is. It all works out. Don't worry. I say that to myself every morning. It all works out in the end. Put your trust in God, and move forward with faith and confidence in the future. The Lord will not forsake us. He will not forsake us. If we will put our trust in Him, if we will pray to Him, if we will live worthy of His blessings, He will hear our prayers.”",Gordon B. Hinckley,hope
"“Keep your best wishes, close to your heart and watch what happens”","Tony DeLiso,",hope
"“Books are finite, sexual encounters are finite, but the desire to read and to fuck is infinite; it surpasses our own deaths, our fears, our hopes for peace.”",Roberto Bolano,hope
"“Since I was young, I have always known this: Life damages us, every one. We can’t escape that damage. But now, I am also learning this: We can be mended. We mend each other”",Veronica Roth,hope
"“When you're at the end of your rope, tie a knot and hold on.”",Theodore Roosevelt,hope
"“The heart dies a slow death, shedding each hope like leaves until one day there are none. No hopes. Nothing remains.”","Arthur Golden,",hope
"“Write it on your heartthat every day is the best day in the year.He is rich who owns the day, and no one owns the daywho allows it to be invaded with fret and anxiety.Finish every day and be done with it.You have done what you could.Some blunders and absurdities, no doubt crept in.Forget them as soon as you can, tomorrow is a new day;begin it well and serenely, with too high a spiritto be cumbered with your old nonsense.This new day is too dear,with its hopes and invitations,to waste a moment on the yesterdays.”","Ralph Waldo Emerson,",hope
