Quote,Author,Tag
“Do one thing every day that scares you.”,Eleanor Roosevelt,inspiration
"“We are what we pretend to be, so we must be careful about what we pretend to be.”","Kurt Vonnegut,",inspiration
"“When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”","Paulo Coelho,",inspiration
"“Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.”","Neil Gaiman,",inspiration
"“Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.”",Langston Hughes,inspiration
"“And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”","Antoine de Saint-Exupéry,",inspiration
“What's meant to be will always find a way”,Trisha Yearwood,inspiration
"“If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.”","Chad Sugg,",inspiration
“The flower that blooms in adversity is the rarest and most beautiful of all.”,"Walt Disney Company,",inspiration
"“We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”",Maya Angelou,inspiration
“You never have to change anything you got up in the middle of the night to write.”,Saul Bellow,inspiration
"“Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”",Maya Angelou,inspiration
“The unexamined life is not worth living.”,Socrates,inspiration
“I was never really insane except upon occasions when my heart was touched.”,Edgar Allan Poe,inspiration
"“It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done.”",Vincent Van Gogh,inspiration
“Pain is temporary. Quitting lasts forever.”,"Lance Armstrong Sally Jenkins,",inspiration
"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”",Kalu Ndukwe Kalu,inspiration
"“It's not the load that breaks you down, it's the way you carry it.”",Lou Holtz,inspiration
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,",inspiration
“I dream my painting and I paint my dream.”,Vincent Willem van Gogh,inspiration
"“And still, after all this time,The sun never says to the earth,""You owe Me.""Look what happens withA love like that,It lights the Whole Sky.”",Hafiz,inspiration
"“Understanding is the first step to acceptance, and only with acceptance can there be recovery.”","J.K. Rowling,",inspiration
"“You have power over your mind - not outside events. Realize this, and you will find strength.”","Marcus Aurelius,",inspiration
"“You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.”","Elizabeth Gilbert,",inspiration
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,",inspiration
