Quote,Author,Tag
"“We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”","Veronica Roth,",inspirational-quotes
"“Don't think or judge, just listen.”","Sarah Dessen,",inspirational-quotes
"“You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”",C. JoyBell C.,inspirational-quotes
"“One day, in retrospect, the years of struggle will strike you as the most beautiful.”",Sigmund Freud,inspirational-quotes
“Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.”,C. JoyBell C.,inspirational-quotes
"“If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.”",C. JoyBell C.,inspirational-quotes
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,",inspirational-quotes
"“We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.”",C. JoyBell C.,inspirational-quotes
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,",inspirational-quotes
"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”","Roy T. Bennett,",inspirational-quotes
"“Instead of worrying about what you cannot control, shift your energy to what you can create.”","Roy T. Bennett,",inspirational-quotes
"“You will find that it is necessary to let things go; simply for the reason that they are heavy. So let them go, let go of them. I tie no weights to my ankles.”",C. JoyBell C.,inspirational-quotes
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett,inspirational-quotes
"“I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.”",C. JoyBell C.,inspirational-quotes
