Quote,Author,Tag
“I've never fooled anyone. I've let people fool themselves. They didn't bother to find out who and what I was. Instead they would invent a character for me. I wouldn't argue with them. They were obviously loving somebody I wasn't.”,Marilyn Monroe,life-lessons
"“And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.”",haruki murakami,life-lessons
"“Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”",Maya Angelou,life-lessons
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,",life-lessons
"“We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.”",C. JoyBell C.,life-lessons
"“No matter how much suffering you went through, you never wanted to let go of those memories.”",haruki murakami,life-lessons
“‎Though nobody can go back and make a new beginning... Anyone can start over and make a new ending.”,Chico Xavier,life-lessons
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,",life-lessons
"“Instead of worrying about what you cannot control, shift your energy to what you can create.”","Roy T. Bennett,",life-lessons
"“The only way that we can live, is if we grow. The only way that we can grow is if we change. The only way that we can change is if we learn. The only way we can learn is if we are exposed. And the only way that we can become exposed is if we throw ourselves out into the open. Do it. Throw yourself.”",C. JoyBell C.,life-lessons
"“If there's a single lesson that life teaches us, it's that wishing doesn't make it so.”","Lev Grossman,",life-lessons
"“Take responsibility of your own happiness, never put it in other people’s hands.”","Roy T. Bennett,",life-lessons
“Only the dead have seen the end of war.”,Plato,life-lessons
"“The trouble is if you don’t spend your life yourself, other people spend it for you.”","Peter Shaffer,",life-lessons
“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,"Roy T. Bennett,",life-lessons
"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”","Roy T. Bennett,",life-lessons
"“Do what is right, not what is easy nor what is popular.”","Roy T. Bennett,",life-lessons
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,"Roy T. Bennett,",life-lessons
“We are addicted to our thoughts. We cannot change anything if we cannot change our thinking.”,"Santosh Kalwar,",life-lessons
"“The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.”","Roy T. Bennett,",life-lessons
"“Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.”","Roy T. Bennett,",life-lessons
"“People tend to complicate their own lives, as if living weren't already complicated enough.”","Carlos Ruiz Zafón,",life-lessons
"“Make improvements, not excuses. Seek respect, not attention.”","Roy T. Bennett,",life-lessons
