Quote,Author,Tag
"“I love you as certain dark things are loved, secretly, between the shadow and the soul.”","Pablo Neruda,",love-quotes
"“It is an absolute human certainty that no one can know his own beauty or perceive a sense of his own worth until it has been reflected back to him in the mirror of another loving, caring human being.”","John Joseph Powell,",love-quotes
"“If I have learned anything in this long life of mine, it is this: in love we find out who we want to be; in war we find out who we are.”","Kristin Hannah,",love-quotes
“your handtouching mine.this is howgalaxiescollide.”,Sanober Khan,love-quotes
"“My heart made it's choice, and it chose you.”","Colleen Hoover,",love-quotes
"“I choose to love you in silence…For in silence I find no rejection,I choose to love you in loneliness…For in loneliness no one owns you but me,I choose to adore you from a distance…For distance will shield me from pain,I choose to kiss you in the wind…For the wind is gentler than my lips,I choose to hold you in my dreams…For in my dreams, you have no end.”",Rumi,love-quotes
"“the saddest thing is to bea minute to someone,when you've made them your eternity.”",Sanober Khan,love-quotes
"“I meant it when I said I didn’t believe in love at first sight. It takes time to really, truly fall for someone. Yet I believe in a moment. A moment when you glimpse the truth within someone, and they glimpse the truth within you. In that moment, you don’t belong to yourself any longer, not completely. Part of you belongs to him; part of him belongs to you. After that, you can’t take it back, no matter how much you want to, no matter how hard you try.”","Claudia Gray,",love-quotes
“You fell in love with a storm. Did you really think you would get out unscathed?”,Nikita Gill,love-quotes
"“Get up, Shahrzad al-Khayzuran. You kneel before no one. Least of all me.”","Renee Ahdieh,",love-quotes
“That’s what it feels like when you touch me. Like millions of tiny universes being born and then dying in the space between your finger and my skin. Sometimes I forget.”,"Iain Thomas,",love-quotes
"“a flower knows, when its butterfly will return, and if the moon walks out, the sky will understand;but now it hurts, to watch you leave so soon,when I don't know, if you will ever come back.”",Sanober Khan,love-quotes
"“To fall in love with someone's thoughts - the most intimate, splendid romance.”",Sanober Khan,love-quotes
“I miss you in waves and tonight I’m drowning. You left me fending for my life and it feels like you’re the only one who can bring me back to the shore alive.”,Denice Envall,love-quotes
"“Not only didI love her,but I could tellthe universe lovedher, too.More than others.She was different.After all; I wouldbe a fool not tonotice the way thesunshine played withher hair.”",Christopher Poindexter,love-quotes
“i want to be in love with youthe same wayi am in love with the moonwith the lightshiningout of its soul.”,Sanober Khan,love-quotes
"“For some people, “the point of no return” begins at the very moment their souls become aware of each others’ existence.”",C. JoyBell C.,love-quotes
