Quote,Author,Tag
“I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.”,"Frank Herbert,",motivational
"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”","Steve Maraboli,",motivational
"“Dare to BeWhen a new day begins, dare to smile gratefully.When there is darkness, dare to be the first to shine a light.When there is injustice, dare to be the first to condemn it.When something seems difficult, dare to do it anyway.When life seems to beat you down, dare to fight back.When there seems to be no hope, dare to find some.When you’re feeling tired, dare to keep going.When times are tough, dare to be tougher.When love hurts you, dare to love again.When someone is hurting, dare to help them heal.When another is lost, dare to help them find the way.When a friend falls, dare to be the first to extend a hand.When you cross paths with another, dare to make them smile.When you feel great, dare to help someone else feel great too.When the day has ended, dare to feel as you’ve done your best.Dare to be the best you can –At all times, Dare to be!”","Steve Maraboli,",motivational
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,",motivational
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,",motivational
"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",Steve Maraboli,motivational
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett,motivational
"“Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.”",Zig Ziglar,motivational
“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,Steve Maraboli,motivational
"“Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.”","Viktor E. Frankl,",motivational
"“Do what is right, not what is easy nor what is popular.”","Roy T. Bennett,",motivational
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,"Roy T. Bennett,",motivational
"“Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.”","Roy T. Bennett,",motivational
“Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.”,"Steve Maraboli,",motivational
“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,Roy T. Bennett,motivational
"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”","Roy T. Bennett,",motivational
"“Pursue what catches your heart, not what catches your eyes.”","Roy T. Bennett,",motivational
"“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”","Roy T. Bennett,",motivational
"“Success is not how high you have climbed, but how you make a positive difference to the world.”","Roy T. Bennett,",motivational
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","Roy T. Bennett,",motivational
"“Happiness is not the absence of problems, it's the ability to deal with them.”","Steve Maraboli,",motivational
“Do not fear failure but rather fear not trying.”,"Roy T. Bennett,",motivational
“The only way of discovering the limits of the possible is to venture a little way past them into the impossible.”,Arthur C. Clarke,motivational
“Be brave to stand for what you believe in even if you stand alone.”,"Roy T. Bennett,",motivational
“Start each day with a positive thought and a grateful heart.”,"Roy T. Bennett,",motivational
“The man who moves a mountain begins by carrying away small stones.”,"Confucius,",motivational
"“Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.”","Steve Maraboli,",motivational
“Never lose hope. Storms make people stronger and never last forever.”,"Roy T. Bennett,",motivational
“Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.”,Ralph Waldo Emerson,motivational
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,"Roy T. Bennett,",motivational
