Quote,Author,Tag
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,philosophy
“Be the change that you wish to see in the world.”,Mahatma Gandhi,philosophy
"“Without music, life would be a mistake.”","Friedrich Nietzsche,",philosophy
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,philosophy
“Go to heaven for the climate and hell for the company.”,Benjamin Franklin Wade,philosophy
“A day without laughter is a day wasted.”,Nicolas Chamfort,philosophy
“Have you ever noticed how ‘What the hell’ is always the right decision to make?”,"Terry Johnson,",philosophy
“How wonderful it is that nobody need wait a single moment before starting to improve the world.”,"Anne Frank,",philosophy
"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",Margaret Mead,philosophy
“You talk when you cease to be at peace with your thoughts.”,"Kahlil Gibran,",philosophy
“May you live every day of your life.”,Jonathan Swift,philosophy
“Man is the only creature who refuses to be what he is.”,Albert Camus,philosophy
"“We have to dare to be ourselves, however frightening or strange that self may prove to be.”",May Sarton,philosophy
"“If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?”",Laurence J. Peter,philosophy
"“One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don't throw it away.”",Stephen Hawking,philosophy
"“It is hard enough to remember my opinions, without also remembering my reasons for them!”",Friedrich Nietzsche,philosophy
"“There is nothing either good or bad, but thinking makes it so.”","William Shakespear,",philosophy
“Never let your sense of morals prevent you from doing what is right.”,"Isaac Asimov,",philosophy
"“A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.”",Albert Einstein,philosophy
“Wise men speak because they have something to say; fools because they have to say something.”,Plato,philosophy
“You do not write your life with words...You write it with actions. What you think is not important. It is only important what you do.”,"Patrick Ness,",philosophy
“Trust yourself. You know more than you think you do.”,Benjamin Spock,philosophy
"“Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world.”","Lao Tzu,",philosophy
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,philosophy
"“Without deviation from the norm, progress is not possible.”",Frank Zappa,philosophy
"“There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.”",Elie Wiesel,philosophy
"“A woman has to live her life, or live to repent not having lived it.”","D.H. Lawrence,",philosophy
"“Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.”",Bertrand Russell,philosophy
“The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.”,"Albert Einstein,",philosophy
"“Fantasy is escapist, and that is its glory. If a soldier is imprisioned by the enemy, don't we consider it his duty to escape?. . .If we value the freedom of mind and soul, if we're partisans of liberty, then it's our plain duty to escape, and to take as many people with us as we can!”",J.R.R. Tolkien,philosophy
“We are all atheists about most of the gods that humanity has ever believed in. Some of us just go one god further.”,"Richard Dawkins,",philosophy
"“You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.”","Malcolm X,",philosophy
"“I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.”","Fitzgerald F. Scott,",philosophy
"“If you ever find yourself in the wrong story, leave.”","Mo Willems,",philosophy
“Maybe everyone can live beyond what they're capable of.”,"Markus Zusak,",philosophy
"“Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.”","Douglas Adams,",philosophy
“Time is an illusion. Lunchtime doubly so.”,"Douglas Adams,",philosophy
“The past has no power over the present moment.”,Eckhart Tolle,philosophy
"“When we are tired, we are attacked by ideas we conquered long ago.”",Friedrich Nietzsche,philosophy
“The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.”,"George Bernard Shaw,",philosophy
“A truth that's told with bad intentBeats all the lies you can invent.”,"William Blake,",philosophy
“I cannot teach anybody anything. I can only make them think”,Socrates,philosophy
“Those who know do not speak. Those who speak do not know.”,"Lao Tsu,",philosophy
“We are addicted to our thoughts. We cannot change anything if we cannot change our thinking.”,"Santosh Kalwar,",philosophy
“You only live twice:Once when you are bornAnd once when you look death in the face”,"Ian Fleming,",philosophy
“The price good men pay for indifference to public affairs is to be ruled by evil men.”,Plato,philosophy
"“Heard melodies are sweet, but those unheard, are sweeter”","John Keats,",philosophy
“A paranoid is someone who knows a little of what's going on. ”,William S. Burroughs,philosophy
“Music is ... A higher revelation than all Wisdom & Philosophy”,Ludwig van Beethoven,philosophy
“The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.”,Mark Twain,philosophy
“It is easy in the world to live after the world's opinion; it is easy in solitude to live after our own; but the great man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude.”,"Ralph Waldo Emerson,",philosophy
“A concept is a brick. It can be used to build a courthouse of reason. Or it can be thrown through the window.”,"Gilles Deleuze,",philosophy
"“If you win, you need not have to explain...If you lose, you should not be there to explain!”",Adolf Hitler,philosophy
"“Like all magnificent things, it's very simple.”","Natalie Babbitt,",philosophy
“Science is not only compatible with spirituality; it is a profound source of spirituality.”,"Carl Sagan,",philosophy
"“I must say a word about fear. It is life's only true opponent. Only fear can defeat life. It is a clever, treacherous adversary, how well I know. It has no decency, respects no law or convention, shows no mercy. It goes for your weakest spot, which it finds with unnerving ease. It begins in your mind, always ... so you must fight hard to express it. You must fight hard to shine the light of words upon it. Because if you don't, if your fear becomes a wordless darkness that you avoid, perhaps even manage to forget, you open yourself to further attacks of fear because you never truly fought the opponent who defeated you.”","Yann Martel,",philosophy
"“For me, I am driven by two main philosophies: know more today about the world than I knew yesterday and lessen the suffering of others. You'd be surprised how far that gets you.”",Neil deGrasse Tyson,philosophy
“Morality is simply the attitude we adopt towards people we personally dislike.”,"Oscar Wilde,",philosophy
"“An intellectual? Yes. And never deny it. An intellectual is someone whose mind watches itself. I like this, because I am happy to be both halves, the watcher and the watched. ""Can they be brought together?"" This is a practical question. We must get down to it. ""I despise intelligence"" really means: ""I cannot bear my doubts.”",Albert Camus,philosophy
"“Life is really simple, but we insist on making it complicated.”",Confucius,philosophy
"“Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.”","J.K.Rowling,",philosophy
"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.”",Gabriel García Márquez,philosophy
"“Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.”",Plato,philosophy
"“Grown-ups never understand anything by themselves, and it is tiresome for children to be always and forever explaining things to them”","Antoine de Saint-Exupéry,",philosophy
"“Tiger got to hunt, bird got to fly;Man got to sit and wonder 'why, why, why?'Tiger got to sleep, bird got to land;Man got to tell himself he understand.”","Kurt Vonnegut,",philosophy
“A serious and good philosophical work could be written consisting entirely of jokes.”,Ludwig Wittgenstein,philosophy
"“Let children read whatever they want and then talk about it with them. If parents and kids can talk together, we won't have as much censorship because we won't have as much fear.”",Judy Blume,philosophy
"“Sometimes I lie awake at night and I ask, ""Is life a multiple choice test or is it a true or false test?"" ...Then a voice comes to me out of the dark and says, ""We hate to tell you this but life is a thousand word essay.”",Charles M. Schulz,philosophy
"“Well, I must endure the presence of a few caterpillars if I wish to become acquainted with the butterflies.”","Antoine de Saint-Exupéry,",philosophy
“The important thing is not to stop questioning. Curiosity has its own reason for existing.”,Albert Einstein,philosophy
"“Is it possible, in the final analysis, for one human being to achieve perfect understanding of another?We can invest enormous time and energy in serious efforts to know another person, but in the end, how close can we come to that person's essence? We convince ourselves that we know the other person well, but do we really know anything important about anyone?”","Haruki Murakami,",philosophy
"“Nothing was ever in tune. People just blindly grabbed at whatever there was: communism, health foods, zen, surfing, ballet, hypnotism, group encounters, orgies, biking, herbs, Catholicism, weight-lifting, travel, withdrawal, vegetarianism, India, painting, writing, sculpting, composing, conducting, backpacking, yoga, copulating, gambling, drinking, hanging around, frozen yogurt, Beethoven, Back, Buddha, Christ, TM, H, carrot juice, suicide, handmade suits, jet travel, New York City, and then it all evaporated and fell apart. People had to find things to do while waiting to die. I guess it was nice to have a choice.”","Charles Bukowski,",philosophy
"“Be like water making its way through cracks. Do not be assertive, but adjust to the object, and you shall find a way around or through it. If nothing within you stays rigid, outward things will disclose themselves. Empty your mind, be formless. Shapeless, like water. If you put water into a cup, it becomes the cup. You put water into a bottle and it becomes the bottle. You put it in a teapot, it becomes the teapot. Now, water can flow or it can crash. Be water, my friend.”",Bruce Lee,philosophy
"“Be kind, for everyone you meet is fighting a hard battle.”",Socrates,philosophy
“I would believe only in a God that knows how to dance.”,Friedrich Nietzsche,philosophy
"“It's not all bad. Heightened self-consciousness, apartness, an inability to join in, physical shame and self-loathing—they are not all bad. Those devils have been my angels. Without them I would never have disappeared into language, literature, the mind, laughter and all the mad intensities that made and unmade me.”","Stephen Fry,",philosophy
"“If you're going to kick authority in the teeth, you might as well use two feet.”","Keith Richards,",philosophy
"“You didn't kill him. He would have killed you, but you didn't kill him.""""So? He was stupid. If I killed everyone who was stupid, I wouldn't have time to sleep.”","Tamora Pierce,",philosophy
"“The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything.”",Freidrich Neitzsche,philosophy
"“The day the power of love overrules the love of power, the world will know peace.”",Mahatma Gandhi,philosophy
"“Today a young man on acid realized that all matter is merely energy condensed to a slow vibration, that we are all one consciousness experiencing itself subjectively, there is no such thing as death, life is only a dream, and we are the imagination of ourselves. Heres Tom with the Weather.”",Bill Hicks,philosophy
“The first duty of a man is to think for himself”,Jose Marti,philosophy
“The smallest minority on earth is the individual. Those who deny individual rights cannot claim to be defenders of minorities.”,Ayn Rand,philosophy
"“I don’t know what’s worse: to not know what you are and be happy, or to become what you’ve always wanted to be, and feel alone.”","Daniel Keyes,",philosophy
“It is an ironic habit of human beings to run faster when they have lost their way.”,Rollo May,philosophy
"“Do not go gentle into that good night,Old age should burn and rave at close of day;Rage, rage against the dying of the light.”","Dylan Thomas,",philosophy
“Time is a game played beautifully by children.”,"Heraclitus,",philosophy
"“Expect everything, I always say, and the unexpected never happens.”","Norton Juster,",philosophy
"“We have come from God, and inevitably the myths woven by us, though they contain error, will also reflect a splintered fragment of the true light, the eternal truth that is with God. Indeed only by myth-making, only by becoming 'sub-creator' and inventing stories, can Man aspire to the state of perfection that he knew before the Fall. Our myths may be misguided, but they steer however shakily towards the true harbour, while materialistic 'progress' leads only to a yawning abyss and the Iron Crown of the power of evil.”",J.R.R. Tolkien,philosophy
"“I started my life with a single absolute: that the world was mine to shape in the image of my highest values and never to be given up to a lesser standard, no matter how long or hard the struggle.”","Ayn Rand,",philosophy
