Quote,Author,Tag
"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","Jess C. Scott,",relationships
"“I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”","Lisa Kleypas,",relationships
“Indifference and neglect often do much more damage than outright dislike.”,"J.K. Rowling,",relationships
"“I think you still love me, but we can’t escape the fact that I’m not enough for you. I knew this was going to happen. So I’m not blaming you for falling in love with another woman. I’m not angry, either. I should be, but I’m not. I just feel pain. A lot of pain. I thought I could imagine how much this would hurt, but I was wrong.”","Haruki Murakami,",relationships
"“The meeting of two personalities is like the contact of two chemical substances: if there is any reaction, both are transformed.”",Carl Gustav Jung,relationships
"“A guy and a girl can be just friends, but at one point or another, they will fall for each other...Maybe temporarily, maybe at the wrong time, maybe too late, or maybe forever”",Dave Matthews Band,relationships
"“You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”",C. JoyBell C.,relationships
"“For the two of us, home isn't a place. It is a person. And we are finally home.”","Stephanie Perkins,",relationships
"“Man may have discovered fire, but women discovered how to play with it.”","Candace Bushnell,",relationships
"“It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head.”","Henry Rollins,",relationships
"“We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.”I will find that special person who is wrong for me in just the right way.”","Andrew  Boyd,",relationships
"“Well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. You know, one day you look at the person and you see something more than you did the night before. Like a switch has been flicked somewhere. And the person who was just a friend is... suddenly the only person you can ever imagine yourself with.”",Gillian Anderson,relationships
"“I mean, if the relationship can't survive the long term, why on earth would it be worth my time and energy for the short term?”","Nicholas Sparks,",relationships
"“Why is it,"" he said, one time, at the subway entrance, ""I feel I've known you so many years?""""Because I like you,"" she said, ""and I don't want anything from you.”","Ray Bradbury,",relationships
"“The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.”","Ernest Hemingway,",relationships
"“When you stop expecting people to be perfect, you can like them for who they are.”","Donald Miller,",relationships
“Every man I meet wants to protect me. I can't figure out what from.”,Mae West,relationships
“There is greatness in doing something you hate for the sake of someone you love.”,Shmuley Boteach,relationships
"“If conversation was the lyrics, laughter was the music, making time spent together a melody that could be replayed over and over without getting stale.”",Nicholas Sparks,relationships
"“I know I am but summer to your heart, and not the full four seasons of the year.”",Edna St. Vincent Millay,relationships
“It's no good pretending that any relationship has a future if your record collections disagree violently or if your favorite films wouldn't even speak to each other if they met at a party.”,Nick Hornby,relationships
"“Come sleep with me: We won't make Love, Love will make us.”",Julio Cortázar,relationships
"“I will love you always. When this red hair is white, I will still love you. When the smooth softness of youth is replaced by the delicate softness of age, I will still want to touch your skin. When your face is full of the lines of every smile you have ever smiled, of every surprise I have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,I will treasure you all the more, because I was there to see it all. I will share your life with you, Meredith, and I will love you until the last breath leaves your body or mine.”","Laurell K. Hamilton,",relationships
"“Holding Eleanor's hand was like holding a butterfly. Or a heartbeat. Like holding something complete, and completely alive.”","Rainbow Rowell,",relationships
“Maybe our girlfriends are our soulmates and guys are just people to have fun with.”,"Candace Bushnell,",relationships
"“To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous.”","Elizabeth Gilbert,",relationships
"“I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?”","Stephanie Lennox,",relationships
“I want to be in a relationship where you telling me you love me is just a ceremonious validation of what you already show me.”,"Steve Maraboli,",relationships
“I suffer from girlnextdooritis where the guy is friends with you and that's it.”,Taylor Swift,relationships
"“Therefore, dear Sir, love your solitude and try to sing out with the pain it causes you. For those who are near you are far away... and this shows that the space around you is beginning to grow vast.... be happy about your growth, in which of course you can't take anyone with you, and be gentle with those who stay behind; be confident and calm in front of them and don't torment them with your doubts and don't frighten them with your faith or joy, which they wouldn't be able to comprehend. Seek out some simple and true feeling of what you have in common with them, which doesn't necessarily have to alter when you yourself change again and again; when you see them, love life in a form that is not your own and be indulgent toward those who are growing old, who are afraid of the aloneness that you trust.... and don't expect any understanding; but believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.”","Rainer Maria Rilke,",relationships
"“When we're incomplete, we're always searching for somebody to complete us. When, after a few years or a few months of a relationship, we find that we're still unfulfilled, we blame our partners and take up with somebody more promising. This can go on and on--series polygamy--until we admit that while a partner can add sweet dimensions to our lives, we, each of us, are responsible for our own fulfillment. Nobody else can provide it for us, and to believe otherwise is to delude ourselves dangerously and to program for eventual failure every relationship we enter.”",Tom Robbins,relationships
"“Man, when you lose your laugh you lose your footing.”","Ken Kesey,",relationships
"“Never marry at all, Dorian. Men marry because they are tired, women, because they are curious: both are disappointed.”","Oscar Wilde,",relationships
"“Every couple needs to argue now and then. Just to prove that the relationship is strong enough to survive. Long-term relationships, the ones that matter, are all about weathering the peaks and the valleys.”","Nicholas Sparks,",relationships
“I know enough to know that no woman should ever marry a man who hated his mother.”,"Martha Gellhorn,",relationships
"“Maybe its like you said before, all of us being cracked open. Like each of us starts out as a watertight vessel. And then things happen - these people leave us, or don’t love us, or don’t get us, or we don’t get them, and we lose and fail and hurt one another. And the vessel starts to crack in places. And I mean, yeah once the vessel cracks open, the end becomes inevitable. Once it starts to rain inside the Osprey, it will never be remodeled. But there is all this time between when the cracks start to open up and when we finally fall apart. And its only that time that we see one another, because we see out of ourselves through our cracks and into others through theirs. When did we see each other face to face? Not until you saw into my cracks and I saw into yours. Before that we were just looking at ideas of each other, like looking at your window shade, but never seeing inside. But once the vessel cracks, the light can get in. The light can get out.”","John Green,",relationships
"“People like to say love is unconditional, but it's not, and even if it was unconditional, it's still never free. There's always an expectation attached. They always want something in return. Like they want you to be happy or whatever and that makes you automatically responsible for their happiness because they won't be happy unless you are ... I just don't want that responsibility.”","Katja Millay,",relationships
"“Even though you may want to move forward in your life, you may have one foot on the brakes. In order to be free, we must learn how to let go. Release the hurt. Release the fear. Refuse to entertain your old pain. The energy it takes to hang onto the past is holding you back from a new life. What is it you would let go of today?”",Mary Manin Morrissey,relationships
"“When you don't talk, there's a lot of stuff that ends up not getting said.”","Catherine Gilbert Murdock,",relationships
"“For there to be betrayal, there would have to have been trust first.”","Suzanne Collins,",relationships
"“Usually adult males who are unable to make emotional connections with the women they choose to be intimate with are frozen in time, unable to allow themselves to love for fear that the loved one will abandon them. If the first woman they passionately loved, the mother, was not true to her bond of love, then how can they trust that their partner will be true to love. Often in their adult relationships these men act out again and again to test their partner's love. While the rejected adolescent boy imagines that he can no longer receive his mother's love because he is not worthy, as a grown man he may act out in ways that are unworthy and yet demand of the woman in his life that she offer him unconditional love. This testing does not heal the wound of the past, it merely reenacts it, for ultimately the woman will become weary of being tested and end the relationship, thus reenacting the abandonment. This drama confirms for many men that they cannot put their trust in love. They decide that it is better to put their faith in being powerful, in being dominant.”",bell hooks,relationships
"“Cheating and lying aren't struggles, they're reasons to break up.”","Patti Callahan Henry,",relationships
"“To say that one waits a lifetime for his soulmate to come around is a paradox. People eventually get sick of waiting, take a chance on someone, and by the art of commitment become soulmates, which takes a lifetime to perfect.”","Criss Jami,",relationships
"“Part of the problem with the word 'disabilities' is that it immediately suggests an inability to see or hear or walk or do other things that many of us take for granted. But what of people who can't feel? Or talk about their feelings? Or manage their feelings in constructive ways? What of people who aren't able to form close and strong relationships? And people who cannot find fulfillment in their lives, or those who have lost hope, who live in disappointment and bitterness and find in life no joy, no love? These, it seems to me, are the real disabilities.”","Fred Rogers,",relationships
“Our wounds are often the openings into the best and most beautiful part of us.”,David Richo,relationships
“Relationships dont always make sense. Especially from the outside”,"Sarah Dessen,",relationships
"“Every couple has ups and downs, every couple argues, and that’s the thing—you’re a couple, and couples can’t function without trust.”","Nicholas Sparks,",relationships
"“Lots of things can be fixed. Things can be fixed. But many times, relationships between people cannot be fixed, because they should not be fixed. You're aboard a ship setting sail, and the other person has joined the inland circus, or is boarding a different ship, and you just can't be with each other anymore. Because you shouldn't be.”",C. JoyBell C.,relationships
“I used to advertise my loyalty and I don't believe there is a single person I loved that I didn't eventually betray.”,"Albert Camus,",relationships
"“Those sweet lips. My, oh my, I could kiss those lips all night long.Good things come to those who wait.”","Jess C. Scott,",relationships
"“If a girl starts out all casual with a guy and she doesn't tell him that she wants a relationship, it will never become a relationship. If you give the guy the impression that casual is okay with you, that's all he'll ever want. Be straight with him from the start. If he gets scared and runs away, he wasn't right for you.”","Susane Colasanti,",relationships
“A dame that knows the ropes isn't likely to get tied up.”,Mae West,relationships
"“Relationships are mysterious. We doubt the positive qualities in others, seldom the negative. You will say to your partner: do you really love me? Are you sure you love me? You will ask this a dozen times and drive the person nuts. But you never ask: are you really mad at me? Are you sure you’re angry? When someone is angry, you don’t doubt it for a moment. Yet the reverse should be true. We should doubt the negative in life, and have faith in the positive.”","Christopher Pike,",relationships
“I may not always be with you But when we're far apartRemember you will be with meRight inside my heart”,"Marc Wambolt,",relationships
“I know my heart will never be the sameBut I'm telling myself I'll be okay”,Sara Evans,relationships
"“If you spend your time hoping someone will suffer the consequences for what they did to your heart, then you're allowing them to hurt you a second time in your mind.”",Shannon L. Alder,relationships
“We die to each other daily. What we know of other people is only our memory of the moments during which we knew them. And they have changed since then. To pretend that they and we are the same is a useful and convenient social convention which must sometimes be broken. We must also remember that at every meeting we are meeting a stranger.”,"T.S. Eliot,",relationships
“Women cannot complain about men anymore until they start getting better taste in them.”,Bill Maher,relationships
"“What we wait around a lifetime for with one person, we can find in a moment with someone else.”","Stephanie Klein,",relationships
"“Forgive the past. It is over. Learn from it and let go. People are constantly changing and growing. Do not cling to a limited, disconnected, negative image of a person in the past. See that person now. Your relationship is always alive and changing.”","Brian Weiss,",relationships
"“I was suffering the easily foreseeable consequences. Addiction is the hallmark of every infatuation-based love story. It all begins when the object of your adoration bestows upon you a heady, hallucinogenic dose of something you never dared to admit you wanted-an emotional speedball, perhaps, of thunderous love and roiling excitement. Soon you start craving that intense attention, with a hungry obsession of any junkie. When the drug is witheld, you promptly turn sick, crazy, and depleted (not to mention resentful of the dealer who encouraged this addiction in the first place but now refuses to pony up the good stuff anymore-- despite the fact that you know he has it hidden somewhere, goddamn it, because he used to give it to you for free). Next stage finds you skinny and shaking in a corner, certain only that you would sell your soul or rob your neighbors just to have 'that thing' even one more time. Meanwhile, the object of your adoration has now become repulsed by you. He looks at you like you're someone he's never met before, much less someone he once loved with high passion. The irony is,you can hardly blame him. I mean, check yourself out. You're a pathetic mess,unrecognizable even to your own eyes. So that's it. You have now reached infatuation's final destination-- the complete and merciless devaluation of self."" - pg 20-21”",Elizabeth Gilbert,relationships
"“Of course it hurt that we could never love each other in a physical way. We would have been far more happy if we had. But that was like the tides, the change of seasons--something immutable, an immovable destiny we could never alter. No matter how cleverly we might shelter it, our delicate friendship wasn't going to last forever. We were bound to reach a dead end. That was painfully clear.”","Haruki Murakami,",relationships
“nothing in this world was more difficult than love.”,Gabriel García Márquez,relationships
"“I think you are wrong to want a heart. It makes most people unhappy. If you only knew it, you are in luck not to have a heart.”","L. Frank Baum,",relationships
