Quote,Author,Tag
“The most wasted of all days is one without laughter.”,Nicolas Chamfort,spirituality
"“For me, trees have always been the most penetrating preachers. I revere them when they live in tribes and families, in forests and groves. And even more I revere them when they stand alone. They are like lonely persons. Not like hermits who have stolen away out of some weakness, but like great, solitary men, like Beethoven and Nietzsche. In their highest boughs the world rustles, their roots rest in infinity; but they do not lose themselves there, they struggle with all the force of their lives for one thing only: to fulfil themselves according to their own laws, to build up their own form, to represent themselves. Nothing is holier, nothing is more exemplary than a beautiful, strong tree. When a tree is cut down and reveals its naked death-wound to the sun, one can read its whole history in the luminous, inscribed disk of its trunk: in the rings of its years, its scars, all the struggle, all the suffering, all the sickness, all the happiness and prosperity stand truly written, the narrow years and the luxurious years, the attacks withstood, the storms endured. And every young farmboy knows that the hardest and noblest wood has the narrowest rings, that high on the mountains and in continuing danger the most indestructible, the strongest, the ideal trees grow. Trees are sanctuaries. Whoever knows how to speak to them, whoever knows how to listen to them, can learn the truth. They do not preach learning and precepts, they preach, undeterred by particulars, the ancient law of life. A tree says: A kernel is hidden in me, a spark, a thought, I am life from eternal life. The attempt and the risk that the eternal mother took with me is unique, unique the form and veins of my skin, unique the smallest play of leaves in my branches and the smallest scar on my bark. I was made to form and reveal the eternal in my smallest special detail. A tree says: My strength is trust. I know nothing about my fathers, I know nothing about the thousand children that every year spring out of me. I live out the secret of my seed to the very end, and I care for nothing else. I trust that God is in me. I trust that my labor is holy. Out of this trust I live. When we are stricken and cannot bear our lives any longer, then a tree has something to say to us: Be still! Be still! Look at me! Life is not easy, life is not difficult. Those are childish thoughts. Let God speak within you, and your thoughts will grow silent. You are anxious because your path leads away from mother and home. But every step and every day lead you back again to the mother. Home is neither here nor there. Home is within you, or home is nowhere at all. A longing to wander tears my heart when I hear trees rustling in the wind at evening. If one listens to them silently for a long time, this longing reveals its kernel, its meaning. It is not so much a matter of escaping from one's suffering, though it may seem to be so. It is a longing for home, for a memory of the mother, for new metaphors for life. It leads home. Every path leads homeward, every step is birth, every step is death, every grave is mother. So the tree rustles in the evening, when we stand uneasy before our own childish thoughts: Trees have long thoughts, long-breathing and restful, just as they have longer lives than ours. They are wiser than we are, as long as we do not listen to them. But when we have learned how to listen to trees, then the brevity and the quickness and the childlike hastiness of our thoughts achieve an incomparable joy. Whoever has learned how to listen to trees no longer wants to be a tree. He wants to be nothing except what he is. That is home. That is happiness.”","Herman Hesse,",spirituality
"“Knock, And He'll open the doorVanish, And He'll make you shine like the sunFall, And He'll raise you to the heavensBecome nothing, And He'll turn you into everything.”",Jalal Ad-Din Rumi,spirituality
"“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”","Roy T. Bennett,",spirituality
“Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.”,Ralph Waldo Emerson,spirituality
"“1. Be Impeccable With Your WordSpeak with integrity. Say only what you mean. Avoid using the word to speak against yourself or to gossip about others. Use the power of your word in the direction of truth and love. 2. Don't Take Anything PersonallyNothing others do is because of you. What others say and do is a projection of their own reality, their own dream. When you are immune to the opinions and actions of others, you won't be the victim of needless suffering. 3. Don't Make AssumptionsFind the courage to ask questions and to express what you really want. Communicate with others as clearly as you can to avoid misunderstandings, sadness and drama. With just this one agreement, you can completely transform your life. 4. Always Do Your BestYour best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. Under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.”",Don Miguel Ruiz,spirituality
"“I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.”",John Lennon,spirituality
“Science is not only compatible with spirituality; it is a profound source of spirituality.”,"Carl Sagan,",spirituality
“No woman wants to be in submission to a man who isn't in submission to God!”,T D Jakes,spirituality
“You can safely assume you've created God in your own image when it turns out that God hates all the same people you do.”,Anne Lamott,spirituality
“The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery.”,Anais Nin,spirituality
"“The greatest disease in the West today is not TB or leprosy; it is being unwanted, unloved, and uncared for. We can cure physical diseases with medicine, but the only cure for loneliness, despair, and hopelessness is love. There are many in the world who are dying for a piece of bread but there are many more dying for a little love. The poverty in the West is a different kind of poverty -- it is not only a poverty of loneliness but also of spirituality. There's a hunger for love, as there is a hunger for God.”","Mother Teresa,",spirituality
“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,"Roy T. Bennett,",spirituality
"“Have you ever lost yourself in a kiss? I mean pure psychedelic inebriation. Not just lustful petting but transcendental metamorphosis when you became aware that the greatness of this being was breathing into you. Licking the sides and corners of your mouth, like sealing a thousand fleshy envelopes filled with the essence of your passionate being and then opened by the same mouth and delivered back to you, over and over again - the first kiss of the rest of your life. A kiss that confirms that the universe is aligned, that the world's greatest resource is love, and maybe even that God is a woman. With or without a belief in God, all kisses are metaphors decipherable by allocations of time, circumstance, and understanding”","Saul Williams,",spirituality
"“Forgive the past. It is over. Learn from it and let go. People are constantly changing and growing. Do not cling to a limited, disconnected, negative image of a person in the past. See that person now. Your relationship is always alive and changing.”","Brian Weiss,",spirituality
"“Lord, make me an instrument of thy peace.Where there is hatred, let me sow love,Where there is injury, pardon;Where there is doubt, faith;Where there is despair, hope;Where there is darkness, light;And where there is sadness, joy.O Divine Master, grant that I may not so much seek to be consoled as to console, to be understood as to understand, to be loved, as to love.For it is in giving that we receive,It is in pardoning that we are pardoned,and it is in dying that we are born to eternal life.”",St. Francis of Assisi,spirituality
"“A single day is enough to make us a little larger or, another time, a little smaller.”",Paul Klee,spirituality
“Dare to love yourselfas if you were a rainbowwith gold at both ends.”,"Author-Poet Aberjhani,",spirituality
