Quote,Author,Tag
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,",time
"“I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”","J.R.R. Tolkien,",time
“There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”,"Sarah Dessen,",time
“Time flies like an arrow; fruit flies like a banana.”,Anthony G. Oettinger,time
"“It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.”",Rose Fitzgerald Kennedy,time
“Books have a unique way of stopping time in a particular moment and saying: Let’s not forget this.”,Dave Eggers,time
“How did it get so late so soon?”,Dr. Seuss,time
“It is the time you have wasted for your rose that makes your rose so important.”,"Antoine de Saint-Exupéry,",time
“Don't waste your time with explanations: people only hear what they want to hear.”,Paulo Coelho,time
“Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin.”,Mother Theresa,time
"“For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be. There’s no time limit, stop whenever you want. You can change or stay the same, there are no rules to this thing. We can make the best or the worst of it. I hope you make the best of it. And I hope you see things that startle you. I hope you feel things you never felt before. I hope you meet people with a different point of view. I hope you live a life you’re proud of. If you find that you’re not, I hope you have the courage to start all over again.”","Eric Roth,",time
“You can have it all. Just not all at once.”,Oprah Winfrey,time
"“Don't spend time beating on a wall, hoping to transform it into a door. ”",Coco Chanel,time
“Time is the longest distance between two places.”,"Tennessee Williams,",time
"“They say I'm old-fashioned, and live in the past, but sometimes I think progress progresses too fast!”",Dr. Seuss,time
"“They always say time changes things, but you actually have to change them yourself.”","Andy Warhol,",time
"“They say time heals all wounds, but that presumes the source of the grief is finite”","Cassandra Clare,",time
“This is a new year. A new beginning. And things will change.”,Taylor Swift,time
“A man who dares to waste one hour of time has not discovered the value of life.”,"Charles Darwin,",time
"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",Roy T. Bennett,time
“I sit beside the fire and think Of all that I have seenOf meadow flowers and butterfliesIn summers that have beenOf yellow leaves and gossamerIn autumns that there wereWith morning mist and silver sunAnd wind upon my hairI sit beside the fire and thinkOf how the world will beWhen winter comes without a spring That I shall ever seeFor still there are so many thingsThat I have never seenIn every wood in every springThere is a different greenI sit beside the fire and thinkOf people long agoAnd people that will see a worldThat I shall never knowBut all the while I sit and thinkOf times there were beforeI listen for returning feet And voices at the door”,J.R.R. Tolkien,time
“Scars have the strange power to remind us that our past is real.”,"Cormac McCarthy,",time
"“Unfortunately, the clock is ticking, the hours are going by. The past increases, the future recedes. Possibilities decreasing, regrets mounting.”","Haruki Murakami,",time
“Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,"Roy T. Bennett,",time
“It's hard being left behind. (...) It's hard to be the one who stays.”,"Audrey Niffenegger,",time
"“Here we are, trapped in the amber of the moment. There is no why.”",Kurt Vonnegut,time
"“Time is a created thing. To say 'I don't have time,' is like saying, 'I don't want to.”",Lao Tzu,time
“Time is an illusion.”,Albert Einstein,time
"“Time doesn’t heal emotional pain, you need to learn how to let go.”","Roy T. Bennett,",time
“Those who make the worst use of their time are the first to complain of its brevity.”,"Jean de La Bruyère,",time
"“It's being here now that's important. There's no past and there's no future. Time is a very misleading thing. All there is ever, is the now. We can gain experience from the past, but we can't relive it; and we can hope for the future, but we don't know if there is one.”",George Harrison,time
"“You may delay, but time will not.”",Benjamin Franklin,time
“The past is never dead. It's not even past.”,"William Faulkner,",time
“The timeless in you is aware of life's timelessness. And knows that yesterday is but today's memory and tomorrow is today's dream.”,"Khalil Gibran,",time
“There's never enough time to do all the nothing you want.”,Bill Watterson,time
"“It’s dark now and I am very tired. I love you, always. Time is nothing.”","Audrey Niffenegger,",time
“Time is a game played beautifully by children.”,"Heraclitus,",time
