Quote,Author,Tag
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,truth
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,truth
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,truth
"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","Jess C. Scott,",truth
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”","J.K. Rowling,",truth
“The truth is rarely pure and never simple.”,"Oscar Wilde,",truth
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,truth
“Never tell the truth to people who are not worthy of it.”,Mark Twain,truth
“Perhaps one did not want to be loved so much as to be understood.”,"George Orwell,",truth
"“The truth will set you free, but first it will piss you off.”","Joe Klaas,",truth
“I am not pretty. I am not beautiful. I am as radiant as the sun.”,"Suzanne Collins,",truth
"“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”",Mahatma Gandhi,truth
“Facts do not cease to exist because they are ignored.”,"Aldous Huxley,",truth
"“Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love.”","Fyodor Dostoevsky,",truth
"“I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?”",John Lennon,truth
"“Here's all you have to know about men and women: women are crazy, men are stupid. And the main reason women are crazy is that men are stupid.”","George Carlin,",truth
“In a time of deceit telling the truth is a revolutionary act.”,George Orwell,truth
“A thing is not necessarily true because a man dies for it.”,Oscar Wilde,truth
"“Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.”",Oscar Wilde,truth
"“Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing ever happened.”",Winston S. Churchill,truth
“The unexamined life is not worth living.”,Socrates,truth
“Books are mirrors: you only see in them what you already have inside you.”,"Carlos Ruiz Zafón,",truth
“I lie to myself all the time. But I never believe me.”,"S.E. Hinton,",truth
