Quote,Author,Tag
“I love deadlines. I love the whooshing noise they make as they go by.”,"Douglas Adams,",writing
“There is no greater agony than bearing an untold story inside you.”,"Maya Angelou,",writing
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","J.D. Salinger,",writing
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,writing
"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Toni Morrison,writing
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,writing
"“If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.”",Stephen King,writing
"“Lock up your libraries if you like; but there is no gate, no lock, no bolt that you can set upon the freedom of my mind.”","Virginia Woolf,",writing
“Substitute 'damn' every time you're inclined to write 'very;' your editor will delete it and the writing will be just as it should be.”,Mark Twain,writing
"“We write to taste life twice, in the moment and in retrospect.”",Anais Nin,writing
"“One day I will find the right words, and they will be simple.”","Jack Kerouac,",writing
"“We live and breathe words. .... It was books that made me feel that perhaps I was not completely alone. They could be honest with me, and I with them. Reading your words, what you wrote, how you were lonely sometimes and afraid, but always brave; the way you saw the world, its colors and textures and sounds, I felt--I felt the way you thought, hoped, felt, dreamt. I felt I was dreaming and thinking and feeling with you. I dreamed what you dreamed, wanted what you wanted--and then I realized that truly I just wanted you.”","Cassandra Clare,",writing
“Fantasy is hardly an escape from reality. It's a way of understanding it.”,Lloyd Alexander,writing
"“And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.”","Sylvia Plath,",writing
“You never have to change anything you got up in the middle of the night to write.”,Saul Bellow,writing
"“Read, read, read. Read everything -- trash, classics, good and bad, and see how they do it. Just like a carpenter who works as an apprentice and studies the master. Read! You'll absorb it.Then write. If it's good, you'll find out. If it's not, throw it out of the window.”",William Faulkner,writing
"“No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.”",Robert Frost,writing
