Quote,Author,Tag
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,writing
“Cut out all these exclamation points. An exclamation point is like laughing at your own joke.”,F. Scott Fitzgerald,writing
"“You must write every single day of your life... You must lurk in libraries and climb the stacks like ladders to sniff books like perfumes and wear books like hats upon your crazy heads... may you be in love every day for the next 20,000 days. And out of that love, remake a world.”",Ray Bradbury,writing
"“Don't JustDon't just learn, experience.Don't just read, absorb.Don't just change, transform.Don't just relate, advocate.Don't just promise, prove.Don't just criticize, encourage.Don't just think, ponder.Don't just take, give.Don't just see, feel.Don’t just dream, do. Don't just hear, listen.Don't just talk, act.Don't just tell, show.Don't just exist, live.”","Roy T. Bennett,",inspiration
"“It’s always about timing. If it’s too soon, no one understands. If it’s too late, everyone’s forgotten.”",Anna Wintour,quotes
“Substitute 'damn' every time you're inclined to write 'very;' your editor will delete it and the writing will be just as it should be.”,Mark Twain,writing
"“It was never about the world being too big, it was more like she was too much for the world to handle.”",robert m drake,quotes
“The scariest moment is always just before you start.”,"Stephen King,",writing
"“Tomorrow may be hell, but today was a good writing day, and on the good writing days nothing else matters.”",Neil Gaiman,writing
"“Write the kind of story you would like to read. People will give you all sorts of advice about writing, but if you are not writing something you like, no one else will like it either.”",Meg Cabot,writing
"“Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only Beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.”","Oscar Wilde,",writing
"“Somewhere along the way we all go a bit mad. So burn, let go and dive into the horror, because maybe it’s the chaos which helps us find where we belong.”",robert m drake,quotes
"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",Roy T. Bennett,inspiration
“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,Steve Maraboli,inspiration
"“A book is made from a tree. It is an assemblage of flat, flexible parts (still called ""leaves"") imprinted with dark pigmented squiggles. One glance at it and you hear the voice of another person, perhaps someone dead for thousands of years. Across the millennia, the author is speaking, clearly and silently, inside your head, directly to you. Writing is perhaps the greatest of human inventions, binding together people, citizens of distant epochs, who never knew one another. Books break the shackles of time ― proof that humans can work magic.”",Carl Sagan,writing
"“I had to learn to live without you and I couldn't make sense of it, because I left so much of me inside of you.”",robert m drake,quotes
“The world’s greatest achievers have been those who have always stayed focussed on their goals and have been consistent in their efforts.”,"Dr Roopleen,",quotes
“Start each day with a positive thought and a grateful heart.”,"Roy T. Bennett,",inspiration
“Sometimes the most beautiful people are beautifully broken.”,robert m drake,quotes
“Fiction is the truth inside the lie.”,Stephen King,writing
"“If you treat an individual as he is, he will remain how he is. But if you treat him as if he were what he ought to be and could be, he will become what he ought to be and could be.”",Johann Wolfgang von Goethe,inspiration
“The true alchemists do not change lead into gold; they change the world into words.”,"William H. Gass,",writing
"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”","Roy T. Bennett,",inspiration
"“Love me when I least deserve it, because that's when I really need it.”",Swedish Proverb,quotes
"“When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”","Paulo Coelho,",inspiration
"“If you have a dream, don’t just sit there. Gather courage to believe that you can succeed and leave no stone unturned to make it a reality.”",Dr Roopleen,quotes
“The best kind of humans are the ones who stay.”,robert m drake,quotes
"“The reason it hurts so much to separate is because our souls are connected. Maybe they always have been and will be. Maybe we've lived a thousand lives before this one and in each of them we've found each other. And maybe each time, we've been forced apart for the same reasons. That means that this goodbye is both a goodbye for the past ten thousand years and a prelude to what will come.”","Nicholas Sparks,",inspiration
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,writing
“What a curious power words have.”,"Tadeusz Borowski,",quotes
"“I can shake off everything as I write; my sorrows disappear, my courage is reborn.”",Anne Frank,writing
"“We write to taste life twice, in the moment and in retrospect.”",Anais Nin,writing
"“I love quotations because it is a joy to find thoughts one might have, beautifully expressed with much authority by someone recognized wiser than oneself.”",Marlene Dietrich,quotes
"“I see all of you, Rhys. And there is not one part that I do not love with everything I am.”","Sarah J. Maas,",quotes
“Fill your paper with the breathings of your heart.”,William Wordsworth,writing
“Madness and chaos are self-destructing but over thinking is the suicide.”,robert m drake,quotes
“Your inner strength is your outer foundation”,Allan Rufus,quotes
"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”","Roy T. Bennett,",inspiration
